,년(Annual),시도,시군구,계
589,2023,부산,동구,10
590,2023,부산,영도구,14
591,2023,부산,부산진구,29
592,2023,부산,동래구,16
593,2023,부산,남구,26
594,2023,부산,북구,39
595,2023,부산,해운대구,51
596,2023,부산,사하구,41
597,2023,부산,금정구,65
598,2023,부산,강서구,182
599,2023,부산,연제구,12
600,2023,부산,수영구,10
601,2023,부산,사상구,36
602,2023,부산,기장군,218
603,2023,대구,대구,1496
604,2023,대구,중구,7
605,2023,대구,동구,182
606,2023,대구,서구,17
607,2023,대구,남구,17
608,2023,대구,북구,93
609,2023,대구,수성구,76
610,2023,대구,달서구,62
611,2023,대구,달성군,428
612,2023,대구,군위군,614
613,2023,인천,인천,1063
614,2023,인천,중구,140
615,2023,인천,동구,7
616,2023,인천,미추홀구,24
617,2023,인천,연수구,56
618,2023,인천,남동구,57
619,2023,인천,부평구,32
620,2023,인천,계양구,45
621,2023,인천,서구,119
622,2023,인천,강화군,411
623,2023,인천,옹진군,172
624,2023,광주,광주,498
625,2023,광주,동구,49
626,2023,광주,서구,47
627,2023,광주,남구,60
628,2023,광주,북구,120
629,2023,광주,광산구,222
630,2023,대전,대전,537
631,2023,대전,동구,136
632,2023,대전,중구,62
633,2023,대전,서구,95
634,2023,대전,유성구,176
635,2023,대전,대덕구,68
636,2023,울산,울산,1062
637,2023,울산,중구,37
638,2023,울산,남구,74
639,2023,울산,동구,36
640,2023,울산,북구,157
641,2023,울산,울주군,758
642,2023,세종,합계,464
643,2023,세종특별자치시,세종특별자치시,464
644,2023,경기,경기,11510
645,2023,경기,수원시(계),121
646,2023,경기,수원시장안구,33
647,2023,경기,수원시권선구,47
648,2023,경기,수원시팔달구,12
649,2023,경기,수원시영통구,27
650,2023,경기,성남시(계),141
651,2023,경기,성남시수정구,45
652,2023,경기,성남시중원구,26
653,2023,경기,성남시분당구,69
654,2023,경기,의정부시,81
655,2023,경기,안양시(계),58
656,2023,경기,안양시만안구,36
657,2023,경기,안양시동안구,21
658,2023,경기,부천시,53
659,2023,경기,광명시,38
660,2023,경기,평택시,458
661,2023,경기,동두천시,95
662,2023,경기,안산시(계),156
663,2023,경기,안산시상록구,57
664,2023,경기,안산시단원구,98
665,2023,경기,고양시(계),268
666,2023,경기,고양시덕양구,165
667,2023,경기,고양시일산동구,59
668,2023,경기,고양시일산서구,42
669,2023,경기,과천시,35
670,2023,경기,구리시,33
671,2023,경기,남양주시,458
672,2023,경기,오산시,42
673,2023,경기,시흥시,139
674,2023,경기,군포시,36
675,2023,경기,의왕시,54
676,2023,경기,하남시,92
677,2023,경기,용인시(계),591
678,2023,경기,용인시처인구,467
679,2023,경기,용인시기흥구,81
680,2023,경기,용인시수지구,42
681,2023,경기,파주시,673
682,2023,경기,이천시,461
683,2023,경기,안성시,553
684,2023,경기,김포시,276
685,2023,경기,화성시,700
686,2023,경기,광주시,430
687,2023,경기,양주시,310
688,2023,경기,포천시,827
689,2023,경기,여주시,608
690,2023,경기,연천군,677
691,2023,경기,가평군,842
692,2023,경기,양평군,877
693,2023,강원,강원,6211
694,2023,강원,춘천시,1
695,2023,강원,원주시,868
696,2023,강원,강릉시,1
697,2023,강원,동해시,180
698,2023,강원,태백시,303
699,2023,강원,속초시,105
700,2023,강원,삼척시,1
701,2023,강원,홍천군,1
702,2023,강원,횡성군,998
703,2023,강원,영월군,1
704,2023,강원,평창군,1
705,2023,강원,정선군,1
706,2023,강원,철원군,890
707,2023,강원,화천군,909
708,2023,강원,양구군,661
709,2023,강원,인제군,1
710,2023,강원,고성군,660
711,2023,강원,양양군,629
712,2023,충북,충북,8343
713,2023,충북,청주시(계),941
714,2023,충북,청주시상당구,404
715,2023,충북,청주시서원구,122
716,2023,충북,청주시흥덕구,199
717,2023,충북,청주시청원구,215
718,2023,충북,충주시,983
719,2023,충북,제천시,882
720,2023,충북,보은군,584
721,2023,충북,옥천군,537
722,2023,충북,영동군,846
723,2023,충북,증평군,81
724,2023,충북,진천군,407
725,2023,충북,괴산군,842
726,2023,충북,음성군,520
727,2023,충북,단양군,780
728,2023,충남,충남,8876
729,2023,충남,천안시(계),636
730,2023,충남,천안시동남구,438
731,2023,충남,천안시서북구,197
732,2023,충남,공주시,864
733,2023,충남,보령시,586
734,2023,충남,아산시,542
735,2023,충남,서산시,742
736,2023,충남,논산시,556
737,2023,충남,계룡시,60
738,2023,충남,당진시,705
739,2023,충남,금산군,577
740,2023,충남,부여군,624
741,2023,충남,서천군,366
742,2023,충남,청양군,479
743,2023,충남,홍성군,446
744,2023,충남,예산군,542
745,2023,충남,태안군,516
746,2023,전북,전북,8274
747,2023,전북,전주시(계),206
748,2023,전북,전주시완산구,92
749,2023,전북,전주시덕진구,113
750,2023,전북,군산시,398
751,2023,전북,익산시,506
752,2023,전북,정읍시,693
753,2023,전북,남원시,752
754,2023,전북,김제시,545
755,2023,전북,완주군,821
756,2023,전북,진안군,789
757,2023,전북,무주군,632
758,2023,전북,장수군,533
759,2023,전북,임실군,597
760,2023,전북,순창군,495
761,2023,전북,고창군,607
762,2023,전북,부안군,495
763,2023,전남,전남,11308
764,2023,전남,목포시,51
765,2023,전남,여수시,512
766,2023,전남,순천시,911
767,2023,전남,나주시,608
768,2023,전남,광양시,464
769,2023,전남,담양군,455
770,2023,전남,곡성군,547
771,2023,전남,구례군,442
772,2023,전남,고흥군,807
773,2023,전남,보성군,664
774,2023,전남,화순군,787
775,2023,전남,장흥군,622
776,2023,전남,강진군,500
777,2023,전남,해남군,1
778,2023,전남,영암군,612
779,2023,전남,무안군,450
780,2023,전남,함평군,392
781,2023,전남,영광군,474
782,2023,전남,장성군,518
783,2023,전남,완도군,396
784,2023,전남,진도군,440
785,2023,전남,신안군,655
786,2023,경북,경북,10936
787,2023,경북,포항시(계),1
788,2023,경북,포항시남구,394
789,2023,경북,포항시북구,736
790,2023,경북,경주시,1
791,2023,경북,김천시,1
792,2023,경북,안동시,1
793,2023,경북,구미시,615
794,2023,경북,영주시,670
795,2023,경북,영천시,919
796,2023,경북,상주시,1
797,2023,경북,문경시,912
798,2023,경북,경산시,411
799,2023,경북,의성군,1
800,2023,경북,청송군,846
801,2023,경북,영양군,815
802,2023,경북,영덕군,741
803,2023,경북,청도군,695
804,2023,경북,고령군,384
805,2023,경북,성주군,616
806,2023,경북,칠곡군,451
807,2023,경북,예천군,661
808,2023,경북,봉화군,1
809,2023,경북,울진군,990
810,2023,경북,울릉군,73
811,2023,경남,경남,11279
812,2023,경남,창원시(계),749
813,2023,경남,창원시의창구,204
814,2023,경남,창원시성산구,89
815,2023,경남,창원시마산합포구,241
816,2023,경남,창원시마산회원구,90
817,2023,경남,창원시진해구,124
818,2023,경남,진주시,712
819,2023,경남,통영시,239
